name,cnpj,cep,state,city,address,industry_sector,enterprise_type,user_id
ARLANXEO ll - Triunfo ,29.667.227/0012-20,95840-000,RS,Triunfo,"EST BR 386, RODOVIA TABAI CANOAS, 419/V. CONTORNO 292",Petroquímica,C,71
ARMAZEM OFFSHORE DE MACAE - Macaé,31.383.201/0001-49,27943-032,RJ,Macaé,"AVENIDA DUQUE DE CAXIAS, 190",Revenda,C,40
ARMAZEM OFFSHORE DE MACAE - Vila Velha,31.383.201/0002-20,29110-340,ES,Vila Velha,"RODOVIA DARLY SANTOS, 4723-A/SALA 19-2",Revenda,C,49
ARTACHO PET INDUSTRIA E COMERCIO LTDA - ME,11.837.456/0001-27,83703-784,PR,Arapongas,"RUA MARRECA-CHILENA, 45",Alimentos e Bebidas,C,57
ARTECHE EDC EQUIPAMENTOS E SISTEMAS S/A,02.782.918/0001-65,83705-190,PR,Araucária,"RUA TENENTE BENEDITO NEPOMUCENO, 153",O&M,C,57
ARYSTA LIFESCIENCE DO BRASIL IND QUIMICA E AGROPECUARIA S/A,62.182.092/0012-88,18160-000,SP,Salto de Pirapora,"RODOVIA SOROCABA, S/N/KM 122",Química,B,50
ASA INDUSTRIA E COMERCIO LTDA,01.551.272/0008-19,55150-790,PE,Belo Jardim,"RODOVIA BR-232, S/N/KM 181",Alimentos e Bebidas,C,46
ASBEC-SOCIEDADE BAIANA DE EDUCACAO E CULTURA LTDA,01.120.386/0001-38,41745-130,BA,Salvador,"AVENIDA LUIZ VIANA FILHO, 6775",Edifícios e Estruturas,B,70
ASGAARD NAVEGACAO S/A,15.733.714/0001-86,22290-160,RJ,Rio de Janeiro,"RUA LAURO MULLER, 116/SL 2601 2608",Naval,B,90
ASI COMERCIO E SERVIÇOS LTDA,04.846.148/0001-00,68445-000,PA,Barcarena,"AVE FELIX CLEMENTE MALCHER, S/N/QD 130 LOTE 3",Projetos e Engenharia,C,93
ASINTEC COMERCIO E MONTAGENS INDUSTRIAIS LTDA - ME,09.197.409/0001-14,13220-000,SP,Várzea Paulista,"RUA DOIS, 140",Revenda,C,67
ASL COMERCIO E DISTRIBUICAO LTDA,23.562.099/0001-10,11015-020,SP,Santos,"RUA SILVA JARDIM, 32",Revenda,C,68
ASPRO DO BRASIL - Manaus,03.131.884/0004-54,69083-000,AM,Manaus,"AV. COSME FERREIRA, 362/SALA 206-ME23",O&M,,56
ASPRO DO BRASIL - Campo Largo,03.131.884/0001-01,83608-000,PR,Campo Largo,"RODOVIA BR-277, KM 107, S/N",O&M,C,57
ASQMA ASSISTENCIA E QUALIDADE EM MATERIAIS E SERVICOS LTDA,03.770.808/0001-46,21021-590,RJ,Rio de Janeiro,"RUA JOAQUIM REGO, 20",Revenda,C,74
Atlantic Energias Renováveis energia eolica,,,ba,Campo Formoso,,Energia (Éolica),,90
Atlantic Nickel,74.127.010/0004-71,45585-000,BA,Itagibá,"FAZENDA SANTA RITA, S/N",MINERAÇÃO,A+,70
Atlantic Nickel,74.127.010/0004-71,45585-000,BA,Itagibá,"FAZENDA SANTA RITA, S/N",MINERAÇÃO,A,70
Atlantic Nickel,74.127.010/0004-71,45585-000,BA,Itagibá,"FAZENDA SANTA RITA, S/N",MINERAÇÃO,A,70
Atlantic Nickel,74.127.010/0004-71,45585-000,BA,Itagibá,"FAZENDA SANTA RITA, S/N",MINERAÇÃO,A,70
ATLANTICMAR COMERCIO VAREJISTA DE ALIMENTOS LTDA - ME,02.905.629/0001-06,40450-640,BA,Salvador,"RUA ARAUJO BULCAO, 128",Revenda,,70
ATLANTIS AGENCIAMENTOS MARITIMOS E DE CARGAS LTDA,14.491.710/0001-76,11060-001,SP,Santos,"AVENIDA ANA COSTA, 59",Revenda,C,68
ATUAL SP COMERCIO DE FERRAMENTAS E EQUIPAMENTOS LTDA,03.803.271/0001-73,03612-000,SP,Sâo Paulo,"RUA CORONEL MEIRELES, 870",Revenda,C,42
ATVOS (Bioenergia),,,MS,Eldorado,,Agrícola,C,64
AUTO PASTORE,61.066.429/0001-76,01030-000,SP,Sâo Paulo,RUA FLORENCIO DE ABREU - ATE 398 - LADO,Revenda,C,42
AUTOMASUL INDUSTRIA E COMERCIO LTDA,09.144.302/0001-08,95100-000,RS,Caxias do Sul,"RUA ARNO WILLY LAYBAUER, 235",Revenda,F,71
AVALLONE COMERCIO DE BORRACHAS E ARTEFATOS LTDA-ME,12.819.877/0001-98,18275-000,SP,Tatuí,"RUA ONZE DE AGOSTO, 1043",Revenda,C,69
AVANCO,,68523-000,PA,Curionópolis,,Mineração,C,72
AVIAMAR COMERCIAL IMPORTAÇÃO E EXPORTAÇÃO LTDA,25.288.546/0001-10,22790-704,RJ,Rio de Janeiro,"AVN DAS AMERICAS, 13685/SLJ SS115",Revenda,C,90
AVSK COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA,12.297.813/0001-74,06421-060,SP,Barueri,"RUA ILHA DO GOVERNADOR, 42",Revenda,C,69
AZ ARMATUREN UND SERVICE NORT IND E COM DE VALVULAS LTDA,07.510.706/0001-42,68447-000,PA,Barcarena,"AVENIDA CASEMIRO PEREIRA SOUZA, S/N",Projetos e Engenharia,C,93
